id,name,country_code,country,hand,age,url,date_accessed
14602,RYGIELSKA Emilia,POL,POLAND,Left,30,https://fie.org/athletes/14602,13/05/2021 21:51
35086,MELNIKOVA Maria,RUS,RUSSIA,Right,24,https://fie.org/athletes/35086,13/05/2021 21:32
6414,LELEIKO Olga,UKR,UKRAINE,Right,43,https://fie.org/athletes/6414,13/05/2021 21:51
28946,ITO Maki,JPN,JAPAN,Right,24,https://fie.org/athletes/28946,13/05/2021 21:43
39188,HERMAN Miya,AUS,AUSTRALIA,Right,20,https://fie.org/athletes/39188,13/05/2021 21:51
43285,LAWSKA Magdalena,POL,POLAND,Right,19,https://fie.org/athletes/43285,13/05/2021 21:32
39190,TISSEUIL Eva,FRA,FRANCE,Right,22,https://fie.org/athletes/39190,13/05/2021 21:51
35095,ICGOREN Eylul,TUR,TURKEY,Right,23,https://fie.org/athletes/35095,13/05/2021 21:32
35097,GUNES Firuze Aysen,TUR,TURKEY,Right,23,https://fie.org/athletes/35097,13/05/2021 21:32
45338,CORBU Emilia,ROU,ROMANIA,Right,19,https://fie.org/athletes/45338,13/05/2021 21:43
45340,SOFRAN Teodora,ROU,ROMANIA,Right,17,https://fie.org/athletes/45340,13/05/2021 21:43
43293,DOUNGPATTRA Sasinpat,THA,THAILAND,Right,19,https://fie.org/athletes/43293,13/05/2021 21:32
45342,PANAIT Daria,ROU,ROMANIA,Right,19,https://fie.org/athletes/45342,13/05/2021 21:43
43295,WORAVIJIT Natnicha,THA,THAILAND,Right,22,https://fie.org/athletes/43295,13/05/2021 21:32
20765,ELESINA Irina,RUS,RUSSIA,Right,30,https://fie.org/athletes/20765,13/05/2021 21:43
37147,POBLETE Constanza,CHI,CHILE,Right,22,https://fie.org/athletes/37147,13/05/2021 21:43
37151,TEMPESTA Cecilia Maria,ITA,ITALY,Right,22,https://fie.org/athletes/37151,13/05/2021 21:43
22819,JEONG Ji Seong,KOR,KOREA,Right,29,https://fie.org/athletes/22819,13/05/2021 21:51
24867,MENDOZA Geiglys,VEN,VENEZUELA,Right,27,https://fie.org/athletes/24867,13/05/2021 21:20
31005,SANDOVAL Maria,COL,COLOMBIA,Right,29,https://fie.org/athletes/31005,13/05/2021 21:51
31006,VELASQUEZ AGUDELO Juliana,COL,COLOMBIA,Left,24,https://fie.org/athletes/31006,13/05/2021 21:51
26919,OJEDA Barbara,ESP,SPAIN,Right,27,https://fie.org/athletes/26919,13/05/2021 21:32
51500,MOBERG Therese,SWE,SWEDEN,Right,17,https://fie.org/athletes/51500,13/05/2021 21:32
24879,CHENG Hiu Lam,HKG,HONG KONG- CHINA,Right,25,https://fie.org/athletes/24879,13/05/2021 21:20
41261,WU Pei Chi,TPE,CHINESE TAIPEI,Right,26,https://fie.org/athletes/41261,13/05/2021 21:20
4405,CAMMILLETTI Marta,ITA,ITALY,Right,37,https://fie.org/athletes/4405,13/05/2021 21:43
24887,JASMINE Jasmine,IND,INDIA,Right,28,https://fie.org/athletes/24887,13/05/2021 21:20
47416,GEYER Emma,GER,GERMANY,Right,20,https://fie.org/athletes/47416,13/05/2021 21:51
39222,SCHMITZ Karoline,GER,GERMANY,Right,20,https://fie.org/athletes/39222,13/05/2021 21:51
43321,SZABELSKA Oliwia,POL,POLAND,Right,21,https://fie.org/athletes/43321,13/05/2021 21:32
47420,PATIL Tejal Houserao,IND,INDIA,Right,28,https://fie.org/athletes/47420,13/05/2021 21:51
47421,RAMBHAD Damini Manohar,IND,INDIA,Right,27,https://fie.org/athletes/47421,13/05/2021 21:51
26943,DEGERMAN Ruusa,FIN,FINLAND,Right,31,https://fie.org/athletes/26943,13/05/2021 21:32
45376,CALDERON Ana Sofia,MEX,MEXICO,Right,19,https://fie.org/athletes/45376,13/05/2021 21:43
45377,MUNOZ Jessica,MEX,MEXICO,Right,17,https://fie.org/athletes/45377,13/05/2021 21:43
47425,RUERS Merle,GER,GERMANY,Left,19,https://fie.org/athletes/47425,13/05/2021 21:51
31042,WONG Nicole Mae Hui Shan,SGP,SINGAPORE,Right,23,https://fie.org/athletes/31042,13/05/2021 21:51
26948,MIENVILLE Julie,FRA,FRANCE,Right,26,https://fie.org/athletes/26948,13/05/2021 21:32
47424,PAWAR Sushmita Narendra,IND,INDIA,Right,25,https://fie.org/athletes/47424,13/05/2021 21:51
41285,PENAFLOR Dyren Faith,PHI,PHILIPPINES,Right,27,https://fie.org/athletes/41285,13/05/2021 21:20
35144,CERES Anastasia,MDA,MOLDOVA,Right,22,https://fie.org/athletes/35144,13/05/2021 21:32
47434,KOTHIERINGER Anna Sophie,GER,GERMANY,Right,17,https://fie.org/athletes/47434,13/05/2021 21:51
47435,HOHENADEL Celia,GER,GERMANY,Right,17,https://fie.org/athletes/47435,13/05/2021 21:51
39244,UENO Yuka,JPN,JAPAN,Right,19,https://fie.org/athletes/39244,13/05/2021 21:51
29002,SULIK Sandra,POL,POLAND,Left,25,https://fie.org/athletes/29002,13/05/2021 21:43
39248,LIDZBARSKA Julia,POL,POLAND,Right,22,https://fie.org/athletes/39248,13/05/2021 21:51
29010,BEA Isabel,ESP,SPAIN,Right,34,https://fie.org/athletes/29010,13/05/2021 21:43
16721,GOMEZ Leydi,COL,COLOMBIA,Left,35,https://fie.org/athletes/16721,13/05/2021 21:20
47445,POPA Crina,ROU,ROMANIA,Right,18,https://fie.org/athletes/47445,13/05/2021 21:51
47446,MANESCU Denisa,ROU,ROMANIA,Right,17,https://fie.org/athletes/47446,13/05/2021 21:51
16728,SERNA Vanessa,COL,COLOMBIA,Right,34,https://fie.org/athletes/16728,13/05/2021 21:20
4437,CIPRIANI Valentina,ITA,ITALY,Left,38,https://fie.org/athletes/4437,13/05/2021 21:43
31067,WINTHER Karen,DEN,DENMARK,Right,43,https://fie.org/athletes/31067,13/05/2021 21:51
47452,CABANAC Andrea,RSA,SOUTH AFRICA,Right,25,https://fie.org/athletes/47452,13/05/2021 21:51
29014,SERNA Micaela,URU,URUGUAY,Right,26,https://fie.org/athletes/29014,13/05/2021 21:43
47455,ZHENG Mengqing,CHN,CHINA,Left,20,https://fie.org/athletes/47455,13/05/2021 21:51
43361,LEE Yu Chieh,TPE,CHINESE TAIPEI,Right,20,https://fie.org/athletes/43361,13/05/2021 21:32
45410,SUAREZ Valeria,MEX,MEXICO,Right,18,https://fie.org/athletes/45410,13/05/2021 21:43
22883,ARGUETA GONZALEZ Ana Clelia,ESA,EL SALVADOR,Right,35,https://fie.org/athletes/22883,13/05/2021 21:51
45412,GONZALEZ Salma,MEX,MEXICO,Right,19,https://fie.org/athletes/45412,13/05/2021 21:43
45413,RUBIO Julia,MEX,MEXICO,Right,18,https://fie.org/athletes/45413,13/05/2021 21:43
37225,CHIES Milena,BRA,BRAZIL,Right,21,https://fie.org/athletes/37225,13/05/2021 21:43
43373,BARALDI Bianca,ITA,ITALY,Right,22,https://fie.org/athletes/43373,13/05/2021 21:33
29038,KOROLEVA Olga,KAZ,KAZAKHSTAN,Left,28,https://fie.org/athletes/29038,13/05/2021 21:43
31086,HUANG Jiaxin,CHN,CHINA,Right,27,https://fie.org/athletes/31086,13/05/2021 21:51
4464,DI FRANCISCA Elisa,ITA,ITALY,Right,38,https://fie.org/athletes/4464,13/05/2021 21:43
29041,MORTAZAVI Sarvenaz,IRI,IRAN,Right,25,https://fie.org/athletes/29041,13/05/2021 21:43
33138,ZHANG Wenjing,CHN,CHINA,Right,24,https://fie.org/athletes/33138,13/05/2021 21:20
29042,GHAHREMANY Elaheh,IRI,IRAN,Left,25,https://fie.org/athletes/29042,13/05/2021 21:43
39283,MIKHALEVA Oxana,GBR,GREAT BRITAIN,Right,37,https://fie.org/athletes/39283,13/05/2021 21:51
51572,POPPEL Ankita,SWE,SWEDEN,Right,17,https://fie.org/athletes/51572,13/05/2021 21:33
12661,SUSFAL Malgorzata,POL,POLAND,Right,32,https://fie.org/athletes/12661,13/05/2021 21:43
31093,KIM Hyeji,KOR,KOREA,Right,25,https://fie.org/athletes/31093,13/05/2021 21:51
33139,SHEN Yinshuang,CHN,CHINA,Right,26,https://fie.org/athletes/33139,13/05/2021 21:20
47473,FELLAH Ines-Jade,ALG,ALGERIA,Right,18,https://fie.org/athletes/47473,13/05/2021 21:51
31094,KIM Hyunjin,KOR,KOREA,Right,25,https://fie.org/athletes/31094,13/05/2021 21:51
47482,ZONGO Sandrine Aurelie,BUR,BURKINA FASO,Right,18,https://fie.org/athletes/47482,13/05/2021 21:51
47484,CHEN Shilin,CHN,CHINA,Right,21,https://fie.org/athletes/47484,13/05/2021 21:51
12287,COMERFORD Shannon,CAN,CANADA,Left,33,https://fie.org/athletes/12287,13/05/2021 21:41
4480,DURANDO Benedetta,ITA,ITALY,Right,35,https://fie.org/athletes/4480,13/05/2021 21:43
51587,MAHMOUD Jana,EGY,EGYPT,Right,17,https://fie.org/athletes/51587,13/05/2021 21:33
4485,ERBA Carolina,ITA,ITALY,Left,36,https://fie.org/athletes/4485,13/05/2021 21:43
35206,SHIN Kyujung,KOR,KOREA,Right,23,https://fie.org/athletes/35206,13/05/2021 21:33
39303,BOFINGER Erin,AUS,AUSTRALIA,Right,20,https://fie.org/athletes/39303,13/05/2021 21:51
45448,SUDDERICK Zoe,GBR,GREAT BRITAIN,Right,24,https://fie.org/athletes/45448,13/05/2021 21:43
27015,MAROTTA Emily,AUS,AUSTRALIA,Right,28,https://fie.org/athletes/27015,13/05/2021 21:33
43403,NGUYEN Thi Thu Phuong,VIE,VIETNAM,Right,23,https://fie.org/athletes/43403,13/05/2021 21:33
43401,NGHIEM Thi Mai,VIE,VIETNAM,Left,22,https://fie.org/athletes/43401,13/05/2021 21:33
37262,OJEDA Marina,ESP,SPAIN,Right,22,https://fie.org/athletes/37262,13/05/2021 21:43
49551,GHAZAL.M Morougue,EGY,EGYPT,Right,20,https://fie.org/athletes/49551,13/05/2021 21:20
18830,NOVALIN'SKA Kristina,RUS,RUSSIA,Left,31,https://fie.org/athletes/18830,13/05/2021 21:33
51605,MAHMOUD Shahd,EGY,EGYPT,Right,19,https://fie.org/athletes/51605,13/05/2021 21:33
31127,DOGRUYOL Ovgu,TUR,TURKEY,Right,24,https://fie.org/athletes/31127,13/05/2021 21:51
51610,AMIR Joumana,EGY,EGYPT,Right,17,https://fie.org/athletes/51610,13/05/2021 21:33
37279,NATEETHORN Sirithorn,THA,THAILAND,Right,24,https://fie.org/athletes/37279,13/05/2021 21:43
39328,DILER Sabiha Nur,TUR,TURKEY,Right,21,https://fie.org/athletes/39328,13/05/2021 21:51
39329,CATI Aslihan,TUR,TURKEY,Right,22,https://fie.org/athletes/39329,13/05/2021 21:51
39330,BALLI Fadime,TUR,TURKEY,Right,21,https://fie.org/athletes/39330,13/05/2021 21:51
2469,GARCIA DELGADO Pilar,ESP,SPAIN,Right,50,https://fie.org/athletes/2469,13/05/2021 21:33
35239,LAZIN Alexandra,ROU,ROMANIA,Right,22,https://fie.org/athletes/35239,13/05/2021 21:33
47527,WERANG Maria Magdelena,MAS,MALAYSIA,Right,22,https://fie.org/athletes/47527,13/05/2021 21:51
31154,MARTINES HAUREGI Oksana,RUS,RUSSIA,Left,25,https://fie.org/athletes/31154,13/05/2021 21:51
31156,GARIFULINA Regina,RUS,RUSSIA,Right,25,https://fie.org/athletes/31156,13/05/2021 21:51
18867,KIM Yoonha,KOR,KOREA,,31,https://fie.org/athletes/18867,13/05/2021 21:33
16821,WINTER NUEVO Angela,CUB,CUBA,Right,34,https://fie.org/athletes/16821,13/05/2021 21:20
22962,DAFFNER Mariana,BRA,BRAZIL,Right,27,https://fie.org/athletes/22962,13/05/2021 21:51
