competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
237,2014,Champ du monde juniors-cadets,Cadet,BULGARIA,03/04/2014,04/04/2014,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2014/237,2014-237,
1359,2017,Championnats du monde Vétérans 60-69,Veterans,SLOVENIA,18/10/2017,18/10/2017,Foil,Womens,Europe/Ljubljana,https://fie.org/competitions/2017/1359,2017-1359,
1360,2017,Championnats du monde Vétérans 70+,Veterans,SLOVENIA,18/10/2017,18/10/2017,Foil,Womens,Europe/Ljubljana,https://fie.org/competitions/2017/1360,2017-1360,
1105,2016,Championnats du monde vétérans 50-59,Veterans,GERMANY,13/10/2016,13/10/2016,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/1105,2016-1105,
1360,2016,Championnats du monde vétérans 70+,Veterans,GERMANY,14/10/2016,14/10/2016,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/1360,2016-1360,
118,2018,Coupe du Monde,Senior,FRANCE,03/11/2017,04/11/2017,Foil,Womens,Europe/Paris,https://fie.org/competitions/2018/118,2018-118,
1014,2018,Championnats Asiatiques,Senior,THAILAND,18/06/2018,18/06/2018,Foil,Womens,Asia/Bangkok,https://fie.org/competitions/2018/1014,2018-1014,
127,2017,Coupe du Monde de fleuret d'Alger by Ooredoo,Senior,ALGERIA,13/01/2017,14/01/2017,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2017/127,2017-127,
740,2015,Championnats d'Europe,Senior,SWITZERLAND,08/06/2015,08/06/2015,Foil,Womens,Europe/Zurich,https://fie.org/competitions/2015/740,2015-740,
740,2017,Championnats d'Europe,Senior,GEORGIA,13/06/2017,13/06/2017,Foil,Womens,Asia/Tbilisi,https://fie.org/competitions/2017/740,2017-740,
1230,2017,Tournoi satellite,Senior,TURKEY,11/12/2016,11/12/2016,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2017/1230,2017-1230,
800,2016,Championnats Panaméricains,Senior,PANAMA,23/06/2016,23/06/2016,Foil,Womens,America/Panama,https://fie.org/competitions/2016/800,2016-800,
458,2016,Grand Prix,Senior,ITALY,27/11/2015,28/11/2015,Foil,Womens,Europe/Rome,https://fie.org/competitions/2016/458,2016-458,
1218,2016,Tournoi satellite,Senior,TURKEY,14/11/2015,15/11/2015,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2016/1218,2016-1218,
457,2017,Grand Prix,Senior,CHINA,19/05/2017,21/05/2017,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2017/457,2017-457,
1218,2017,Tournoi satellite,Senior,MEXICO,12/10/2016,13/10/2016,Foil,Womens,America/Cancun,https://fie.org/competitions/2017/1218,2017-1218,
458,2018,Grand Prix,Senior,ITALY,01/12/2017,03/12/2017,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/458,2018-458,
1218,2019,Tournoi satellite,Senior,SLOVAKIA,15/09/2018,15/09/2018,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2019/1218,2019-1218,
122,2015,Reinhold-Würth-Cup,Senior,GERMANY,01/05/2015,02/05/2015,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2015/122,2015-122,
1281,2017,Trekanten International,Senior,DENMARK,28/05/2017,28/05/2017,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2017/1281,2017-1281,
121,2017,Absolute Fencing Gear Long Beach Foil Grand Prix,Senior,USA,17/03/2017,18/03/2017,Foil,Womens,America/Los_Angeles,https://fie.org/competitions/2017/121,2017-121,
1307,2015,Jeux africains,Senior,CONGO,02/09/2015,06/09/2015,Foil,Womens,Africa/Brazzaville,https://fie.org/competitions/2015/1307,2015-1307,
1230,2015,Tournoi satellite,Senior,TURKEY,13/12/2014,14/12/2014,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2015/1230,2015-1230,
121,2016,Grand Prix,Senior,CUBA,11/03/2016,12/03/2016,Foil,Womens,America/Havana,https://fie.org/competitions/2016/121,2016-121,
1356,2019,Tournoi Satellite,Senior,DENMARK,07/10/2018,07/10/2018,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2019/1356,2019-1356,
